    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 21572 Sekunden (5.99 h)
VmRSS Start: 2104 kB

[ 4260.0s]     22312536 Runden |    5257/s (Ø    5238/s) | Fehler 0 | Tamper 0/5448 | RSS 2104 kB
[ 4320.0s]     22624584 Runden |    5201/s (Ø    5237/s) | Fehler 0 | Tamper 0/5524 | RSS 2104 kB
[ 4380.0s]     22939082 Runden |    5242/s (Ø    5237/s) | Fehler 0 | Tamper 0/5601 | RSS 2104 kB
[ 4440.0s]     23257095 Runden |    5300/s (Ø    5238/s) | Fehler 0 | Tamper 0/5679 | RSS 2104 kB
[ 4500.0s]     23573243 Runden |    5269/s (Ø    5238/s) | Fehler 0 | Tamper 0/5756 | RSS 2104 kB
[ 4560.0s]     23893358 Runden |    5335/s (Ø    5240/s) | Fehler 0 | Tamper 0/5834 | RSS 2104 kB
[ 4620.0s]     24208060 Runden |    5245/s (Ø    5240/s) | Fehler 0 | Tamper 0/5911 | RSS 2104 kB
[ 4680.0s]     24525438 Runden |    5290/s (Ø    5240/s) | Fehler 0 | Tamper 0/5988 | RSS 2104 kB
[ 4740.0s]     24841488 Runden |    5267/s (Ø    5241/s) | Fehler 0 | Tamper 0/6065 | RSS 2104 kB
[ 4800.0s]     25159677 Runden |    5303/s (Ø    5242/s) | Fehler 0 | Tamper 0/6143 | RSS 2104 kB
[ 4860.0s]     25476831 Runden |    5286/s (Ø    5242/s) | Fehler 0 | Tamper 0/6220 | RSS 2104 kB
[ 4920.0s]     25792132 Runden |    5255/s (Ø    5242/s) | Fehler 0 | Tamper 0/6297 | RSS 2104 kB
[ 4980.0s]     26109263 Runden |    5286/s (Ø    5243/s) | Fehler 0 | Tamper 0/6375 | RSS 2104 kB
[ 5040.0s]     26426481 Runden |    5287/s (Ø    5243/s) | Fehler 0 | Tamper 0/6452 | RSS 2104 kB
[ 5100.0s]     26744502 Runden |    5300/s (Ø    5244/s) | Fehler 0 | Tamper 0/6530 | RSS 2104 kB
[ 5160.0s]     27061568 Runden |    5284/s (Ø    5244/s) | Fehler 0 | Tamper 0/6607 | RSS 2104 kB
[ 5220.0s]     27360163 Runden |    4977/s (Ø    5241/s) | Fehler 0 | Tamper 0/6680 | RSS 2104 kB
[ 5280.0s]     27674853 Runden |    5245/s (Ø    5241/s) | Fehler 0 | Tamper 0/6757 | RSS 2104 kB
[ 5340.0s]     27988754 Runden |    5232/s (Ø    5241/s) | Fehler 0 | Tamper 0/6834 | RSS 2104 kB
[ 5400.0s]     28306371 Runden |    5294/s (Ø    5242/s) | Fehler 0 | Tamper 0/6911 | RSS 2104 kB
[ 5460.0s]     28622539 Runden |    5269/s (Ø    5242/s) | Fehler 0 | Tamper 0/6988 | RSS 2104 kB
[ 5520.0s]     28934941 Runden |    5207/s (Ø    5242/s) | Fehler 0 | Tamper 0/7065 | RSS 2104 kB
[ 5580.0s]     29251981 Runden |    5284/s (Ø    5242/s) | Fehler 0 | Tamper 0/7142 | RSS 2104 kB
[ 5640.0s]     29568111 Runden |    5269/s (Ø    5243/s) | Fehler 0 | Tamper 0/7219 | RSS 2104 kB
[ 5700.0s]     29884556 Runden |    5274/s (Ø    5243/s) | Fehler 0 | Tamper 0/7297 | RSS 2104 kB
[ 5760.0s]     30203074 Runden |    5309/s (Ø    5244/s) | Fehler 0 | Tamper 0/7374 | RSS 2104 kB
[ 5820.0s]     30515715 Runden |    5211/s (Ø    5243/s) | Fehler 0 | Tamper 0/7451 | RSS 2104 kB
[ 5880.0s]     30828434 Runden |    5212/s (Ø    5243/s) | Fehler 0 | Tamper 0/7527 | RSS 2104 kB
[ 5940.0s]     31146633 Runden |    5303/s (Ø    5244/s) | Fehler 0 | Tamper 0/7605 | RSS 2104 kB
[ 6000.0s]     31464751 Runden |    5302/s (Ø    5244/s) | Fehler 0 | Tamper 0/7682 | RSS 2104 kB
[ 6060.0s]     31783947 Runden |    5320/s (Ø    5245/s) | Fehler 0 | Tamper 0/7760 | RSS 2104 kB
[ 6120.0s]     32098358 Runden |    5240/s (Ø    5245/s) | Fehler 0 | Tamper 0/7837 | RSS 2104 kB
[ 6180.0s]     32411490 Runden |    5219/s (Ø    5245/s) | Fehler 0 | Tamper 0/7913 | RSS 2104 kB
[ 6240.0s]     32728610 Runden |    5285/s (Ø    5245/s) | Fehler 0 | Tamper 0/7991 | RSS 2104 kB
[ 6300.0s]     33042026 Runden |    5224/s (Ø    5245/s) | Fehler 0 | Tamper 0/8067 | RSS 2104 kB
[ 6360.0s]     33350775 Runden |    5146/s (Ø    5244/s) | Fehler 0 | Tamper 0/8143 | RSS 2104 kB
[ 6420.0s]     33660408 Runden |    5161/s (Ø    5243/s) | Fehler 0 | Tamper 0/8218 | RSS 2104 kB
[ 6480.0s]     33973532 Runden |    5219/s (Ø    5243/s) | Fehler 0 | Tamper 0/8295 | RSS 2104 kB
[ 6540.0s]     34286750 Runden |    5220/s (Ø    5243/s) | Fehler 0 | Tamper 0/8371 | RSS 2104 kB
[ 6600.0s]     34601352 Runden |    5243/s (Ø    5243/s) | Fehler 0 | Tamper 0/8448 | RSS 2104 kB
[ 6660.0s]     34917266 Runden |    5265/s (Ø    5243/s) | Fehler 0 | Tamper 0/8525 | RSS 2104 kB
[ 6720.0s]     35226969 Runden |    5162/s (Ø    5242/s) | Fehler 0 | Tamper 0/8601 | RSS 2104 kB
[ 6780.0s]     35541319 Runden |    5239/s (Ø    5242/s) | Fehler 0 | Tamper 0/8678 | RSS 2104 kB
[ 6840.0s]     35855204 Runden |    5231/s (Ø    5242/s) | Fehler 0 | Tamper 0/8754 | RSS 2104 kB
[ 6900.0s]     36171170 Runden |    5266/s (Ø    5242/s) | Fehler 0 | Tamper 0/8831 | RSS 2104 kB
[ 6960.0s]     36486456 Runden |    5255/s (Ø    5242/s) | Fehler 0 | Tamper 0/8908 | RSS 2104 kB
[ 7020.0s]     36794604 Runden |    5136/s (Ø    5241/s) | Fehler 0 | Tamper 0/8984 | RSS 2104 kB
[ 7080.0s]     37108979 Runden |    5240/s (Ø    5241/s) | Fehler 0 | Tamper 0/9060 | RSS 2104 kB
[ 7140.0s]     37423941 Runden |    5249/s (Ø    5241/s) | Fehler 0 | Tamper 0/9137 | RSS 2104 kB
[ 7200.0s]     37740207 Runden |    5271/s (Ø    5242/s) | Fehler 0 | Tamper 0/9214 | RSS 2104 kB
[ 7260.0s]     38056133 Runden |    5265/s (Ø    5242/s) | Fehler 0 | Tamper 0/9292 | RSS 2104 kB
[ 7320.0s]     38363429 Runden |    5122/s (Ø    5241/s) | Fehler 0 | Tamper 0/9367 | RSS 2104 kB
[ 7380.0s]     38678361 Runden |    5249/s (Ø    5241/s) | Fehler 0 | Tamper 0/9443 | RSS 2104 kB
[ 7440.0s]     38997097 Runden |    5312/s (Ø    5242/s) | Fehler 0 | Tamper 0/9521 | RSS 2104 kB
[ 7500.0s]     39314301 Runden |    5287/s (Ø    5242/s) | Fehler 0 | Tamper 0/9599 | RSS 2104 kB
[ 7560.0s]     39631478 Runden |    5286/s (Ø    5242/s) | Fehler 0 | Tamper 0/9676 | RSS 2104 kB
[ 7620.0s]     39944580 Runden |    5218/s (Ø    5242/s) | Fehler 0 | Tamper 0/9753 | RSS 2104 kB
[ 7680.0s]     40256798 Runden |    5204/s (Ø    5242/s) | Fehler 0 | Tamper 0/9829 | RSS 2104 kB
[ 7740.0s]     40573396 Runden |    5277/s (Ø    5242/s) | Fehler 0 | Tamper 0/9906 | RSS 2104 kB
[ 7800.0s]     40888753 Runden |    5256/s (Ø    5242/s) | Fehler 0 | Tamper 0/9983 | RSS 2104 kB
[ 7860.0s]     41205659 Runden |    5282/s (Ø    5242/s) | Fehler 0 | Tamper 0/10060 | RSS 2104 kB
[ 7920.0s]     41519312 Runden |    5228/s (Ø    5242/s) | Fehler 0 | Tamper 0/10137 | RSS 2104 kB
[ 7980.0s]     41834923 Runden |    5260/s (Ø    5242/s) | Fehler 0 | Tamper 0/10214 | RSS 2104 kB
[ 8040.0s]     42153475 Runden |    5309/s (Ø    5243/s) | Fehler 0 | Tamper 0/10292 | RSS 2104 kB
[ 8100.0s]     42473957 Runden |    5341/s (Ø    5244/s) | Fehler 0 | Tamper 0/10370 | RSS 2104 kB
