    Finished `release` profile [optimized] target(s) in 0.02s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 28800 Sekunden (8.00 h)
VmRSS Start: 2120 kB

[ 4200.0s]     21983852 Runden |    5269/s (Ø    5234/s) | Fehler 0 | Tamper 0/5368 | RSS 2120 kB
[ 4260.0s]     22296551 Runden |    5212/s (Ø    5234/s) | Fehler 0 | Tamper 0/5444 | RSS 2120 kB
[ 4320.0s]     22613314 Runden |    5279/s (Ø    5235/s) | Fehler 0 | Tamper 0/5521 | RSS 2120 kB
[ 4380.0s]     22923097 Runden |    5163/s (Ø    5234/s) | Fehler 0 | Tamper 0/5597 | RSS 2120 kB
[ 4440.0s]     23239941 Runden |    5281/s (Ø    5234/s) | Fehler 0 | Tamper 0/5674 | RSS 2120 kB
[ 4500.0s]     23556281 Runden |    5272/s (Ø    5235/s) | Fehler 0 | Tamper 0/5752 | RSS 2120 kB
[ 4560.0s]     23871534 Runden |    5254/s (Ø    5235/s) | Fehler 0 | Tamper 0/5829 | RSS 2120 kB
[ 4620.0s]     24189219 Runden |    5295/s (Ø    5236/s) | Fehler 0 | Tamper 0/5906 | RSS 2120 kB
[ 4680.0s]     24502634 Runden |    5224/s (Ø    5236/s) | Fehler 0 | Tamper 0/5983 | RSS 2120 kB
[ 4740.0s]     24819469 Runden |    5281/s (Ø    5236/s) | Fehler 0 | Tamper 0/6060 | RSS 2120 kB
[ 4800.0s]     25134344 Runden |    5248/s (Ø    5236/s) | Fehler 0 | Tamper 0/6137 | RSS 2120 kB
[ 4860.0s]     25449106 Runden |    5246/s (Ø    5236/s) | Fehler 0 | Tamper 0/6214 | RSS 2120 kB
[ 4920.0s]     25764924 Runden |    5264/s (Ø    5237/s) | Fehler 0 | Tamper 0/6291 | RSS 2120 kB
[ 4980.0s]     26077899 Runden |    5216/s (Ø    5237/s) | Fehler 0 | Tamper 0/6367 | RSS 2120 kB
[ 5040.0s]     26395102 Runden |    5287/s (Ø    5237/s) | Fehler 0 | Tamper 0/6445 | RSS 2120 kB
[ 5100.0s]     26708371 Runden |    5221/s (Ø    5237/s) | Fehler 0 | Tamper 0/6521 | RSS 2120 kB
[ 5160.0s]     27022109 Runden |    5229/s (Ø    5237/s) | Fehler 0 | Tamper 0/6598 | RSS 2120 kB
[ 5220.0s]     27335618 Runden |    5225/s (Ø    5237/s) | Fehler 0 | Tamper 0/6674 | RSS 2120 kB
[ 5280.0s]     27641911 Runden |    5105/s (Ø    5235/s) | Fehler 0 | Tamper 0/6749 | RSS 2120 kB
[ 5340.0s]     27952417 Runden |    5175/s (Ø    5235/s) | Fehler 0 | Tamper 0/6825 | RSS 2120 kB
[ 5400.0s]     28264583 Runden |    5203/s (Ø    5234/s) | Fehler 0 | Tamper 0/6901 | RSS 2120 kB
[ 5460.0s]     28580190 Runden |    5260/s (Ø    5234/s) | Fehler 0 | Tamper 0/6978 | RSS 2120 kB
[ 5520.0s]     28898595 Runden |    5307/s (Ø    5235/s) | Fehler 0 | Tamper 0/7056 | RSS 2120 kB
[ 5580.0s]     29213150 Runden |    5243/s (Ø    5235/s) | Fehler 0 | Tamper 0/7133 | RSS 2120 kB
[ 5640.0s]     29529776 Runden |    5277/s (Ø    5236/s) | Fehler 0 | Tamper 0/7210 | RSS 2120 kB
[ 5700.0s]     29841449 Runden |    5195/s (Ø    5235/s) | Fehler 0 | Tamper 0/7286 | RSS 2120 kB
[ 5760.0s]     30157804 Runden |    5273/s (Ø    5236/s) | Fehler 0 | Tamper 0/7363 | RSS 2120 kB
[ 5820.0s]     30470838 Runden |    5217/s (Ø    5236/s) | Fehler 0 | Tamper 0/7440 | RSS 2120 kB
[ 5880.0s]     30781843 Runden |    5183/s (Ø    5235/s) | Fehler 0 | Tamper 0/7516 | RSS 2120 kB
[ 5940.0s]     31096234 Runden |    5240/s (Ø    5235/s) | Fehler 0 | Tamper 0/7592 | RSS 2120 kB
[ 6000.0s]     31413266 Runden |    5284/s (Ø    5236/s) | Fehler 0 | Tamper 0/7670 | RSS 2120 kB
[ 6060.0s]     31728012 Runden |    5246/s (Ø    5236/s) | Fehler 0 | Tamper 0/7747 | RSS 2120 kB
[ 6120.0s]     32039514 Runden |    5192/s (Ø    5235/s) | Fehler 0 | Tamper 0/7823 | RSS 2120 kB
